coset,d,k,n,diameter,last_layer_size,total_states,growth,central
2Different,5,3,17,12,1,17,"[1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1]",
2Different,5,3,18,13,1,18,"[1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1]",
2Different,5,3,19,14,1,19,"[1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,5,3,20,15,1,20,"[1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,5,4,10,7,1,10,"[1, 1, 1, 1, 1, 2, 2, 1]",
2Different,5,4,11,7,1,11,"[1, 1, 1, 1, 1, 2, 3, 1]",
2Different,5,4,12,7,2,12,"[1, 1, 1, 1, 1, 2, 3, 2]",
2Different,5,4,13,8,1,13,"[1, 1, 1, 1, 1, 2, 3, 2, 1]",
2Different,5,4,14,9,1,14,"[1, 1, 1, 1, 1, 2, 3, 2, 1, 1]",
2Different,5,4,15,10,1,15,"[1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1]",
2Different,5,4,16,11,1,16,"[1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1]",
2Different,5,4,17,12,1,17,"[1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1]",
2Different,5,4,18,13,1,18,"[1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1]",
2Different,5,4,19,14,1,19,"[1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1]",
2Different,5,4,20,15,1,20,"[1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1]",
3Different,1,1,9,18,2,72,"[1, 2, 2, 3, 4, 4, 4, 4, 5, 6, 6, 5, 3, 3, 5, 5, 4, 4, 2]",
3Different,1,1,10,13,1,50,"[1, 2, 2, 3, 4, 4, 4, 4, 5, 7, 7, 4, 2, 1]",
3Different,1,1,11,25,1,110,"[1, 2, 2, 3, 4, 4, 4, 4, 5, 7, 8, 6, 4, 5, 6, 6, 6, 5, 4, 5, 5, 4, 4, 3, 2, 1]",
